Component,Quantity,Price each (USD$),Price each (GBP£),Total (USD$),Total (GBP£),Source,Link
SEEED ESP-32 C6 (presoldered headers),1,$8.47,£6.20,$13.55 (with shipping),£10.00 (with shipping),The Pi Hut,https://thepihut.com/products/seeed-xiao-esp32c6
"Waveshare 1.54"" E-Paper Display",1,$20.31,£14.99,$20.31 (free shipping),£14.99 (free shipping),Amazon,https://www.amazon.co.uk/Waveshare-Module-Electronic-Raspberry-Interface/dp/B0728BJTZC/ref=sr_1_2?crid=118FFLO224543&dib=eyJ2IjoiMSJ9.P6S9cn6hsD_jI9cr1rj1wDQpcydcEFT4ab3rqCt4EG7mONu8V165NLCZR8npll8-8XalSm41XBspt9e7iM1AFROQXJ2K9lHky0WktoxXZOINlmUJ84erWNfBgGhDnzVxkq17Wn-9AYp8wNyh3NKyp7xn3AqsjpptgcBUWUipivDvIOp_ztndTzagWUCNkkI8_mF6YFIM-GrH_rtX2YkkduFAofh8ve8Hm-w5fBNnZn0.Svauc6hRdKnnxwpZJfzuyUTIO8rP-rdTg2OdbE5ga-0&dib_tag=se&keywords=epaper+module&qid=1787954639&sprefix=epap%2Caps%2C704&sr=8-2
2000mah LiPo Battery,1,$5.41,£3.99,$5.41 (free shipping),£3.99 (free shipping),Aliexpress,https://www.aliexpress.com/item/1005005614561610.html
TP4056 5v 1A Module (pack of 5),1,$1.56,£1.15,$1.56 (free shipping),£1.15 (free shipping),Aliexpress,https://www.aliexpress.com/item/1005009325814790.html
SHT41 Module,1,$4.05,£2.99,$4.05 (free shipping),£2.99 (free shipping),Aliexpress,https://www.aliexpress.com/item/1005009925102532.html
SGP40 Module,1,$7.65,£5.65,$7.65 (free shipping),£5.65 (free shipping),Aliexpress,https://www.aliexpress.com/item/1005011540615606.html
"M3 Heatset Inserts (100pc, sorry it's the smallest qty I could find!)",1,$5.38,£3.97,$5.38 (free shipping),£3.97 (free shipping),Aliexpress,https://www.aliexpress.com/item/1005006472962973.html
"26AWG Wire (2 meters, RED, for POWER cables)",1,$0.68,£0.50,$0.68 (free shipping),£0.50 (free shipping),Aliexpress,https://www.aliexpress.com/item/1005008812047188.html
"26AWG Wire (2 meters, BLACK, for GROUND cables)",1,$0.68,£0.50,$0.68 (free shipping),£0.50 (free shipping),Aliexpress,https://www.aliexpress.com/item/1005008812047188.html
"26AWG Wire (2 meters, ORANGE, for DATA cables)",1,$0.68,£0.50,$0.68 (free shipping),£0.50 (free shipping),Aliexpress,https://www.aliexpress.com/item/1005008812047188.html
Heatshrink Tubing (already got),N/A,N/A,N/A,N/A,N/A,My Drawer,N/A
M3 and M2.5 Screws (already got),N/A,N/A,N/A,N/A,N/A,My Drawer,N/A
Resistors (2x 100k? for the voltage divider) (already got),N/A,N/A,N/A,N/A,N/A,My Drawer,N/A
,,,,59.95,44.24,,
